Submission ID,Common Name,Scientific Name,Taxonomic Order,Count,State/Province,County,Location,Latitude,Longitude,Date,Time,Protocol,Duration (Min),All Obs Reported,Distance Traveled (km),Area Covered (ha),Number of Observers,Breeding Code,Species Comments,Checklist Comments
S58896703,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Palmerston North City,"20–144 Forest Hill Road, Aokautere NZ-Manawatu-Wanganui (-40.3505,175.7037)",-40.350518,175.703674,2019-08-11,09:15 AM,eBird - Stationary Count,23,1,,,2,,,Goldfinches in stinging nettles within a sheep paddock
S58896700,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Palmerston North City,"Fitzherbert East Road, Aokautere NZ-Manawatu-Wanganui (-40.3292,175.7381)",-40.329234,175.738068,2019-08-11,10:54 AM,eBird - Stationary Count,10,1,,,2,,,Overlooking drainage ditch through farmland
S58699017,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Rangitikei District,"470 Onepuhi Road, Marton NZ-Manawatu-Wanganui",-40.074586,175.465454,2019-08-03,09:58 AM,eBird - Stationary Count,10,1,,,2
S58699013,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Rangitikei District,"514–518 Jeffersons Line, Marton NZ-Manawatu-Wanganui",-40.013358,175.44583,2019-08-03,10:55 AM,eBird - Stationary Count,6,1,,,2
S58699018,Paradise Shelduck,Tadorna variegata,371,4,NZ-MWT,Rangitikei District,"515 Onepuhi Road, Marton NZ-Manawatu-Wanganui",-40.075069,175.476738,2019-08-03,09:35 AM,eBird - Stationary Count,20,1,,,2
S58699019,Paradise Shelduck,Tadorna variegata,371,1,NZ-MWT,Rangitikei District,"601 Porewa Road, Marton NZ-Manawatu-Wanganui",-40.074626,175.458298,2019-08-03,09:15 AM,eBird - Stationary Count,15,1,,,2
S58699016,Paradise Shelduck,Tadorna variegata,371,5,NZ-MWT,Rangitikei District,"77 Porewa Road, Marton NZ-Manawatu-Wanganui",-40.027859,175.47597,2019-08-03,10:25 AM,eBird - Stationary Count,14,1,,,2
S58699011,Paradise Shelduck,Tadorna variegata,371,2,NZ-MWT,Rangitikei District,Overlooking Tutaenui Dam,-39.998573,175.3878,2019-08-03,11:13 AM,eBird - Stationary Count,10,1,,,2
S58476227,Muscovy Duck (Domestic type),Cairina moschata (Domestic type),390,4,NZ-MWT,Manawatu District,"Mt Lee's Reserve Entrance, 93–189 Ngaio Road, Halcombe NZ-Manawatu-Wanganui",-40.187827,175.453131,2019-07-27,09:15 AM,eBird - Stationary Count,11,1,,,2
S58702684,Mallard,Anas platyrhynchos,471,5,NZ-MWT,Horowhenua District,"203 Mangahao Road, Shannon NZ-Manawatu-Wanganui",-40.566163,175.442481,2019-08-03,02:40 PM,eBird - Stationary Count,12,1,,,2
S58702677,Mallard,Anas platyrhynchos,471,2,NZ-MWT,Horowhenua District,"Oakland Lane, Shannon NZ-Manawatu-Wanganui",-40.564578,175.388756,2019-08-03,04:14 PM,eBird - Stationary Count,10,1,,,2
S58431124,Mallard,Anas platyrhynchos,471,4,NZ-MWT,Manawatu District,"1090 Longburn Rongotea Road, Rongotea NZ-Manawatu-Wanganui (-40.3129,175.4909)",-40.312937,175.490877,2019-07-25,02:45 PM,eBird - Stationary Count,10,1,,,1
S58430048,Mallard,Anas platyrhynchos,471,2,NZ-MWT,Manawatu District,"1137 Kairanga Bunnythorpe Road, Kairanga NZ-Manawatu-Wanganui (-40.3498,175.5295)",-40.349811,175.529451,2019-07-25,01:33 PM,eBird - Stationary Count,15,1,,,1
S58753624,Mallard,Anas platyrhynchos,471,2,NZ-MWT,Manawatu District,"120–208 Lethbridge Road, Feilding NZ-Manawatu-Wanganui (-40.1895,175.5493)",-40.189467,175.549274,2019-08-05,02:37 PM,eBird - Stationary Count,8,1,,,1
